Tv Size (Inches),OpSys,DOB,
15.6,Windows 10,"""04/10/2013""",22
17.3,Windows 10,"""12/02/2001""",18
14,Windows 10,"""14/04/2011""",27
15.6,Windows 10,"""08/03/2012""",17
15.6,Windows 10,"""06/10/1964""",3
15.6,Windows 10,"""03/12/1998""",3
17.3,Windows 10,"""28/05/2000""",18
15.6,Windows 10,"""30/04/1983""",26
,,"""09/06/1972""",27
15.6,Windows 10,"""17/10/2014""",7
15.6,Windows 10,"""26/05/1972""",19
15.6,Linux,"""23/06/1989""",25
13.5,Windows 10 S,"""11/12/1985""",21
15.6,Windows 10,"""04/12/1984""",1
13.3,Windows 10,"""26/11/1968""",15
35.6,Windows 10,"""11/08/1985""",26
14,Windows 10,"""08/08/1974""",28
15.6,Windows 10,"""29/12/1965""",17
14,Windows 10,"""16/06/2011""",18
11.6,Chrome OS,"""02/06/1984""",1
15.6,Windows 10,"""03/07/2017""",23
15.6,Windows 10,"""17/04/1997""",18
15.6,Windows 10,"""14/03/1991""",28
15.6,Windows 10,"""10/06/2011""",6
15.6,Windows 10,"""25/06/1969""",10
17.3,Windows 10,"""13/09/1969""",9
13.3,Windows 10,"""16/05/1983""",20
15.6,Windows 10,"""22/02/1997""",29
15.6,Windows 10,"""01/07/1985""",19
15.6,Windows 10,"""07/01/1988""",16
17.3,Windows 10,"""15/02/1964""",21
15.6,Windows 10,"""20/04/1995""",19
14,Chrome OS,"""12/04/2010""",12
14,Windows 10,"""08/08/2020""",16
17.3,Windows 10,"""16/04/2011""",22
14,Windows 10,"""19/10/1996""",3
13.3,Windows 10,"""02/10/2001""",22
11.6,Windows 10,"""23/10/2006""",24
14,Windows 10,"""15/11/1985""",17
12.5,Chrome OS,"""26/06/2016""",7
13.3,Windows 10,"""20/04/2003""",15
,,"""07/07/2015""",18
15.6,Windows 10,"""31/12/1986""",4
15.6,Windows 10,"""01/03/1968""",5
15.6,Windows 10,"""18/07/1987""",15
15.6,Windows 10,"""22/03/1991""",8
15.6,No OS,"""10/11/1969""",27
15.6,Windows 10,"""21/01/1989""",12
13.3,Windows 10,"""08/03/1966""",26
15.6,Windows 7,"""08/10/1983""",26
14,Windows 10,"""03/12/1973""",6
17.3,Windows 10,"""03/04/2006""",10
15.6,Windows 10,"""14/07/1980""",30
14,Linux,"""08/08/1967""",25
15.6,Linux,"""15/02/1960""",6
14,Windows 10,"""24/06/1993""",19
15.6,Windows 10,"""11/12/1976""",3
14,Windows 10,"""08/07/1973""",24
15.6,Windows 10,"""21/11/2002""",4
15.6,Windows 10,"""02/05/1974""",6
14,Windows 10,"""17/05/2007""",17
17.3,Windows 10,"""21/01/1999""",5
14,Windows 10,"""08/06/1973""",8
13.3,Windows 10,"""20/04/1996""",28
14,Windows 10,"""14/01/1998""",11
17.3,Windows 10,"""22/04/1979""",22
17.3,Windows 10,"""11/10/2000""",3
15.6,No OS,"""23/03/1994""",24
,,"""25/09/1984""",7
13.3,Windows 10,"""09/11/2006""",19
15.6,Linux,"""28/05/1962""",7
15.6,Windows 10,"""10/07/1961""",8
17.3,Windows 10,"""12/06/1977""",26
15.6,Windows 10,"""16/06/2012""",20
15.6,Windows 10,"""19/08/1991""",23
15.6,Windows 10,"""16/03/1968""",17
13.3,Windows 10,"""18/07/2008""",4
15.6,Windows 10,"""21/10/1988""",10
15.6,Windows 10,"""17/05/1990""",2
13.3,Windows 10,"""14/09/1996""",4
15.6,Windows 10,"""28/10/2013""",11
15.6,Windows 10,"""12/04/2016""",10
15.6,Windows 10,"""15/08/1990""",1
15.6,Windows 10,"""14/06/2005""",30
14,Windows 10,"""30/12/2017""",19
14,Windows 10,"""24/01/2002""",22
15.6,Windows 10,"""25/03/1999""",22
14,Chrome OS,"""29/07/1965""",1
13.3,Windows 10,"""14/12/1961""",19
,,"""18/07/2004""",5
14,Windows 10,"""23/07/1984""",3
17.3,Windows 7,"""21/07/1966""",6
11.6,Windows 10,"""30/10/1977""",23
15.6,Windows 10,"""25/12/1972""",19
15.6,No OS,"""28/09/1990""",21
,,"""16/10/2017""",24
15.6,Windows 10,"""23/01/1977""",28
13.3,Windows 10,"""20/06/1988""",25
15.6,Windows 10,"""04/09/1996""",8
15.6,Windows 7,"""25/03/1988""",28
15.6,Windows 10,"""01/02/1965""",23
15.6,Windows 10,"""28/04/2013""",23
15.6,Windows 10,"""12/09/1991""",29
12.5,Windows 10,"""19/06/1969""",12
12.3,Chrome OS,"""08/04/2015""",6
13.3,Windows 10,"""30/06/2021""",22
13.3,Windows 10,"""20/05/1967""",27
13.3,Windows 10,"""22/09/1990""",24
17.3,Windows 10,"""28/05/2009""",7
15.6,Windows 10,"""04/01/1990""",27
13.3,Windows 10,"""28/09/1998""",6
15.6,Linux,"""15/12/1983""",5
15.6,Windows 10,"""01/12/2004""",21
15,Windows 10,"""17/03/1982""",15
14,Windows 10,"""02/07/2009""",5
15.6,Windows 10,"""12/07/1963""",19
,,"""15/05/1974""",5
15.6,Windows 10,"""30/05/1982""",12
15.6,Windows 7,"""25/08/2005""",19
14,Windows 10,"""27/06/1998""",28
14,Windows 10,"""13/06/1975""",15
15.6,Windows 10,"""26/03/1963""",14
17.3,Windows 10,"""25/09/2005""",7
17.3,Windows 10,"""17/01/1977""",28
14,Windows 10,"""16/12/2002""",23
15.6,No OS,"""22/08/1962""",12
14,Windows 10,"""09/02/1976""",25
14,Windows 10,"""18/05/1998""",27
15.6,Windows 10,"""11/01/2022""",20
15.6,Windows 10,"""29/09/1960""",19
17.3,Windows 10,"""26/09/2004""",17
15.6,Windows 10,"""26/12/1972""",10
15.6,Windows 10,"""31/07/2009""",15
14,Windows 10,"""16/09/2005""",23
13.3,Windows 10,"""22/11/2018""",25
15.6,Windows 10,"""20/12/1960""",12
12,Mac OS X,"""22/09/1966""",14
14,Windows 10,"""21/07/1971""",11
14,Windows 10,"""24/04/2005""",13
15.6,Windows 10,"""04/09/1986""",24
13.9,Windows 10,"""14/06/1969""",3
15.6,Windows 10,"""07/06/1961""",9
15.6,Windows 10,"""06/11/2020""",30
15.6,Windows 10,"""21/04/1998""",13
13.3,Windows 10,"""23/08/1973""",27
15.6,Windows 10,"""19/06/1970""",11
11.6,Windows 10,"""01/10/1999""",13
12.5,Windows 10,"""08/01/2010""",5
15.6,Windows 10,"""21/10/1989""",27
15.6,Windows 10,"""09/11/1968""",14
15.6,Windows 10,"""11/02/1970""",12
15.6,Windows 10,"""07/10/1964""",13
17.3,Windows 10,"""20/02/1985""",27
17.3,Windows 10,"""25/02/1968""",9
13.3,Windows 10,"""10/06/1997""",25
15.6,Windows 10,"""25/06/1976""",8
15.6,Windows 10,"""06/01/1986""",24
14,Windows 10,"""08/04/1988""",5
12.5,Windows 10,"""30/08/1968""",13
11.6,Chrome OS,"""08/11/1962""",25
17.3,Windows 10,"""08/10/2021""",25
14,Windows 10,"""16/06/1989""",2
15.6,Windows 10,"""01/12/1995""",30
14,Windows 10,"""01/05/1989""",1
14,Windows 10,"""20/07/1987""",28
15.6,Windows 10,"""14/06/2021""",10
14,Windows 10,"""28/12/2003""",9
14,Windows 10,"""27/03/1980""",14
13.3,Windows 10,"""23/02/2012""",30
14,Windows 10,"""13/11/2018""",29
11.6,Chrome OS,"""02/01/2003""",2
14,Windows 10,"""15/06/2013""",21
17.3,Windows 10,"""15/10/2002""",15
14,Windows 10,"""03/10/1980""",14
15.6,Linux,"""01/09/2013""",6
14,Windows 10,"""01/08/1969""",6
14,Windows 10,"""26/07/2013""",6
15.6,Windows 10,"""27/10/2007""",20
17.3,Windows 10,"""08/06/2009""",9
15.6,Windows 10,"""07/08/2018""",5
14,Chrome OS,"""14/01/1980""",5
15.6,Windows 10,"""10/07/1999""",4
17.3,Windows 10,"""03/02/1970""",1
17.3,Windows 10,"""27/08/2014""",22
17.3,Windows 10,"""20/08/1985""",28
15.6,Windows 10,"""10/02/2008""",1
14,Windows 7,"""10/09/2012""",13
15.6,Windows 10,"""02/09/1963""",4
11.6,Chrome OS,"""30/01/1993""",8
13.3,Windows 10,"""23/04/2003""",10
13.3,Windows 10,"""15/11/2019""",1
14,Windows 10,"""31/12/1979""",1
15.6,No OS,"""12/11/2010""",5
15.6,Windows 10,"""24/08/1974""",29
17.3,Linux,"""07/12/2004""",25
14,Windows 10,"""06/09/2008""",11
15.6,Windows 10,"""11/07/1978""",4
15.6,Windows 10,"""16/03/1999""",4
15.6,Windows 10,"""08/09/1975""",4
13.3,Windows 10,"""18/01/1994""",28
13.3,Windows 10,"""10/04/1967""",30
15.6,No OS,"""18/03/1969""",18
15.6,Windows 10,"""04/12/1990""",8
15.6,Windows 10,"""02/06/2014""",24
13.3,Windows 10,"""29/01/1961""",22
15.6,No OS,"""27/10/1979""",8
13.3,Windows 10,"""20/11/1975""",14
15.6,Windows 10,"""23/04/1986""",3
13.3,Windows 10,"""15/04/1994""",4
13.3,Windows 10,"""11/02/2015""",22
14,Windows 10,"""25/11/1987""",25
15.6,Windows 10,"""25/03/2008""",19
15.6,Windows 10,"""02/05/1985""",22
15.6,No OS,"""06/10/1968""",21
15.6,Windows 10,"""10/01/2021""",24
13.3,Windows 10,"""07/01/2015""",15
15,Windows 10,"""23/03/1968""",15
12.5,Windows 10,"""19/03/2021""",22
15.6,Linux,"""05/07/1987""",5
13.3,Windows 10,"""26/05/2002""",9
15.6,Windows 10,"""29/04/1991""",12
15.6,Windows 10,"""04/03/2017""",8
13.3,Windows 10,"""29/03/1987""",21
15.6,Windows 10,"""06/06/1975""",25
14.1,Windows 10,"""12/07/2015""",6
15.6,Windows 10,"""01/04/1990""",7
15.6,Windows 10,"""10/08/2001""",28
13.3,Windows 10,"""12/05/1990""",19
15.6,Linux,"""17/09/1979""",24
17.3,Windows 10,"""14/12/2003""",17
11.6,Chrome OS,"""13/08/2003""",7
17.3,Windows 10,"""18/03/2000""",10
14,Windows 10,"""20/01/2002""",11
13.3,Windows 10,"""05/10/1964""",27
15,Windows 10,"""11/08/1974""",6
14,Windows 10,"""22/04/2019""",24
17.3,Windows 10,"""10/08/1994""",22
13.3,Windows 10,"""25/02/2011""",22
15.6,Linux,"""06/04/1981""",24
15.6,Windows 10,"""18/09/1992""",9
15.6,Windows 10,"""17/03/1975""",23
15.6,Windows 10,"""05/06/2020""",3
13.3,Windows 10,"""03/03/1994""",27
17.3,Windows 10,"""13/12/2017""",25
13.3,Windows 10,"""10/08/1980""",29
14,Windows 10,"""11/01/1978""",20
15.6,Windows 10,"""29/06/1969""",10
15.6,Windows 10,"""05/02/1961""",15
12.5,Windows 10,"""03/09/1981""",28
15.6,Chrome OS,"""30/01/1977""",9
15.6,Windows 10,"""01/08/1970""",6
14,Windows 10,"""10/06/1987""",13
14,Windows 10,"""29/03/2005""",25
12.5,Windows 10,"""13/01/2005""",1
15.6,Windows 10,"""23/05/1978""",4
15.6,Windows 10,"""17/12/2018""",6
15.6,Windows 10,"""22/09/2017""",10
13.3,Windows 10,"""16/02/2021""",21
13.3,Windows 10,"""18/09/1975""",15
17.3,Windows 10,"""28/03/1997""",17
15.6,Windows 10,"""26/03/1984""",11
15.6,Windows 10,"""07/07/1997""",26
15.6,Windows 10,"""26/10/1975""",13
15.6,Windows 10,"""29/09/2007""",23
,,"""27/06/2007""",2
,,"""06/07/1981""",22
13.3,Windows 10,"""09/03/1968""",20
15.6,Windows 10,"""20/07/1978""",3
12.5,Windows 10,"""03/03/2010""",14
15.6,Windows 10,"""26/08/1987""",7
15.6,Windows 10,"""22/02/2012""",7
14,Windows 10,"""13/03/1962""",12
15.6,Windows 10,"""24/11/2022""",1
12.5,Windows 10,"""12/11/2000""",14
15.6,No OS,"""23/05/2000""",22
13.3,Windows 10,"""09/08/1988""",4
14,Windows 10,"""03/02/1970""",26
12.5,Windows 10,"""20/04/2012""",23
15.6,Windows 10,"""21/09/1976""",23
15.6,Windows 10,"""11/08/1960""",20
,,"""03/08/1999""",3
17.3,Windows 10,"""02/01/1980""",14
17.3,Windows 10,"""15/05/2018""",5
17.3,Windows 10,"""02/11/1996""",24
15.6,Windows 10,"""06/06/1982""",5
15.6,Windows 10,"""02/05/1965""",19
11.3,Windows 10,"""24/02/1993""",7
15.6,Windows 10,"""10/06/1961""",8
12.5,Windows 10,"""15/02/1971""",14
15.6,No OS,"""08/02/1987""",23
17.3,Windows 10,"""18/05/1974""",22
14,Chrome OS,"""22/12/1994""",30
15.6,Windows 10,"""21/05/1975""",7
14,Windows 10,"""14/01/1986""",23
13.3,Windows 7,"""12/06/2019""",27
12.5,Chrome OS,"""05/08/1976""",3
14,Windows 10,"""16/08/1978""",25
17.3,Windows 10,"""18/10/1987""",27
13.3,Windows 10,"""04/07/1976""",9
11.6,Windows 10,"""10/08/2000""",21
13.3,Windows 10,"""03/08/2001""",22
11.6,Chrome OS,"""09/08/2016""",20
13.3,Windows 10,"""18/11/1985""",3
12.5,Windows 10,"""18/02/1983""",5
15.6,Windows 10,"""07/11/1989""",13
12.5,Windows 10,"""07/04/2016""",12
15.6,Windows 10,"""26/10/2004""",16
15.6,Linux,"""03/12/1985""",1
15.6,Windows 10,"""08/04/1979""",30
15.6,Windows 10,"""22/06/1988""",12
17.3,Windows 10,"""11/05/1983""",21
15.6,Windows 10,"""25/05/1962""",30
13.3,Windows 10,"""17/04/2022""",4
14,Windows 10,"""27/03/1995""",17
17.3,Windows 10,"""01/08/1988""",27
14,Windows 10,"""29/09/2019""",18
17.3,Windows 10,"""18/01/1991""",1
15.6,Windows 10,"""23/05/2004""",22
14,Windows 7,"""05/06/2008""",25
15.6,Windows 10,"""28/01/1976""",9
,,"""12/07/1999""",10
17.3,Windows 10,"""06/06/1994""",10
15.6,Windows 10,"""02/01/1976""",30
13.3,Windows 7,"""01/05/1992""",16
15.6,Windows 10,"""09/09/2006""",29
15.6,Windows 10,"""30/12/1966""",18
14,Windows 10,"""10/07/1973""",5
15.6,Windows 10,"""03/11/1964""",23
15.6,Windows 10,"""19/05/1971""",9
15.6,Windows 10,"""14/10/2022""",7
15.6,Windows 10,"""14/08/2015""",24
14,Windows 10,"""16/03/2000""",30
12.5,Windows 10,"""02/07/1984""",18
15.6,Windows 10,"""26/12/2017""",9
15.6,No OS,"""24/12/1980""",23
15.6,Windows 10,"""12/05/1993""",23
,,"""10/07/1969""",26
13.3,Windows 10,"""14/11/1966""",27
13.3,Windows 10,"""18/06/2021""",16
15.6,Windows 10,"""19/11/1984""",19
15.6,Windows 10,"""30/01/1973""",11
14,Windows 10,"""25/11/1992""",21
15.6,Windows 10,"""16/11/1963""",17
13.3,Windows 10,"""05/11/2014""",30
15.6,Windows 10,"""29/08/2020""",23
14,Windows 10,"""24/09/2012""",23
13.3,Windows 10,"""18/06/1984""",16
14,Windows 10,"""26/07/2014""",28
14,Windows 10,"""12/11/2014""",16
14,Windows 7,"""10/09/1987""",21
14,Windows 10,"""29/09/1960""",9
14,Windows 10,"""11/12/1973""",30
15.6,Windows 10,"""11/08/2003""",13
12.5,Windows 10,"""07/09/1987""",30
14,Windows 10,"""30/11/1997""",29
14,Windows 10,"""04/05/2007""",9
13.3,Windows 10,"""09/08/1963""",16
13.3,Windows 10,"""21/06/1983""",12
15.6,Windows 10,"""21/06/1971""",15
17.3,Windows 7,"""14/01/1972""",5
14,Windows 10,"""19/05/2000""",19
14,Windows 10,"""18/04/2022""",28
15.6,Windows 10,"""03/07/1975""",28
13.3,Windows 10,"""29/11/2002""",2
13.3,Windows 10,"""13/12/1967""",18
14,Windows 10,"""04/03/2004""",13
15.6,Windows 10,"""09/11/1964""",18
12.5,Windows 10,"""17/06/1966""",11
14,Windows 10,"""21/10/2012""",29
14,Windows 10,"""21/06/1998""",22
13.3,Windows 10,"""03/08/1971""",15
17.3,Windows 10,"""22/05/1978""",22
14,Windows 10,"""20/11/2000""",19
15.6,Windows 10,"""13/08/1995""",11
17.3,Windows 10,"""15/08/1990""",28
14,Windows 7,"""25/06/1969""",19
15.6,Windows 10,"""21/12/2017""",22
12.5,Windows 10,"""04/07/1973""",3
15.6,Windows 10,"""21/05/2002""",27
14,Windows 10,"""29/12/2005""",26
15.6,Windows 7,"""24/03/2001""",29
14,Windows 10,"""30/09/2013""",6
15.6,Windows 10,"""02/02/1971""",21
14,Windows 10,"""23/09/2011""",14
15.6,Windows 10,"""05/01/1966""",4
15.6,Windows 10,"""09/08/1972""",20
14,Windows 10,"""02/05/1994""",17
15.6,Windows 10,"""10/10/1963""",15
14,Windows 7,"""19/09/1980""",14
17.3,Windows 10,"""04/06/1966""",26
17.3,Windows 10,"""14/02/1971""",1
11.6,Chrome OS,"""19/11/1973""",5
14,Windows 7,"""13/01/1968""",28
15.6,Windows 10,"""10/10/2021""",19
15.6,Windows 10,"""01/11/1987""",15
15.6,Windows 10,"""08/03/1999""",11
13.3,Windows 10,"""05/11/1989""",17
15.6,Windows 10,"""26/07/1979""",4
15.6,No OS,"""08/04/1961""",1
15.6,Windows 10,"""05/09/2008""",21
13.3,Windows 10,"""16/09/1964""",23
15.6,Windows 10,"""07/06/1982""",9
,,"""21/03/1961""",21
17.3,No OS,"""13/07/2018""",6
15.6,Windows 10,"""19/08/1983""",12
15.6,Windows 10,"""05/06/1968""",16
15.6,Windows 10,"""15/08/1984""",21
13.3,Windows 10,"""10/04/1979""",20
17.3,Windows 10,"""29/07/2014""",19
13.3,Windows 10,"""18/12/1968""",14
15.6,Windows 10,"""31/01/2017""",26
12,Mac OS X,"""16/06/1968""",25
15.6,Windows 10,"""25/10/1960""",19
15.6,Windows 10,"""28/09/1979""",5
12.5,Windows 7,"""04/12/1997""",13
13.3,Windows 10,"""03/10/1990""",29
12.5,Windows 10,"""15/04/1971""",7
17.3,Windows 10,"""29/05/1989""",29
15.6,Windows 10,"""26/05/2007""",4
17.3,Windows 10,"""01/04/2005""",20
15.6,Windows 10,"""13/03/1969""",26
15.6,Windows 7,"""10/01/2000""",12
12.5,Windows 10,"""18/01/2014""",17
17.3,Windows 10,"""09/08/2013""",27
10.1,Windows 10,"""13/10/2005""",1
13.3,Windows 10,"""18/02/2016""",4
15.6,Windows 10,"""26/01/1981""",20
14,Windows 7,"""30/07/1997""",26
15.6,Windows 7,"""10/05/1997""",30
14,Windows 7,"""22/05/1997""",29
13.3,Chrome OS,"""30/03/2013""",23
15.6,Windows 10,"""19/09/1976""",17
15.6,Linux,"""16/12/1974""",26
15.6,No OS,"""10/03/2015""",15
17.3,Windows 10,"""14/01/1967""",1
13.3,Windows 10,"""16/06/2009""",9
12.5,Windows 7,"""14/01/1963""",17
15.6,Windows 10,"""02/05/1985""",12
15.6,Windows 10,"""23/11/1986""",10
17.3,Windows 10,"""27/06/1974""",27
15.6,Windows 10,"""19/01/1985""",15
17.3,Windows 10,"""17/08/2003""",4
12.5,Windows 7,"""22/02/2003""",21
12.5,Windows 7,"""25/08/2005""",21
15.6,Chrome OS,"""06/04/1987""",10
17.3,Windows 7,"""26/01/1999""",19
15.6,Windows 10,"""27/06/1989""",22
12.5,Windows 7,"""02/03/2022""",19
17.3,Windows 10,"""25/10/1979""",3
15.6,Windows 10,"""21/05/1987""",1
15.6,Windows 10,"""06/08/1970""",14
15.6,Windows 10,"""10/12/1966""",17
13.3,Windows 10,"""09/09/1988""",6
15.6,Windows 7,"""29/04/2021""",26
15.6,Windows 10,"""19/12/2006""",19
13.3,Windows 10,"""25/10/1983""",20
10.1,Android,"""11/10/2000""",21
13.3,Windows 10,"""17/10/2002""",24
17.3,Windows 10,"""03/07/1988""",3
12.5,Windows 10,"""18/07/1964""",12
13.3,Windows 10,"""10/05/2021""",23
17.3,Windows 10,"""14/08/1974""",23
13.3,Windows 10,"""07/12/1984""",4
13.3,Windows 10,"""20/10/1977""",10
14,Windows 7,"""18/05/2022""",6
15.6,Linux,"""15/07/2003""",15
15.6,Windows 10,"""13/04/2006""",28
14,Windows 10,"""03/12/1990""",4
10.1,Windows 10,"""29/09/2002""",17
12.5,Windows 7,"""19/12/1979""",25
15.6,No OS,"""23/03/1965""",12
17.3,Windows 10,"""20/06/1978""",7
15.6,Windows 10,"""03/07/2004""",11
14,Windows 7,"""01/08/2018""",15
14,Windows 10,"""19/07/2013""",10
15.6,Windows 10,"""12/08/1961""",27
15.6,Windows 10,"""17/10/2005""",15
15.6,Windows 10,"""30/03/1988""",10
17.3,Windows 7,"""24/10/2003""",15
15.6,Windows 10,"""08/11/1999""",7
17.3,Windows 10,"""17/04/2004""",20
15.6,Windows 7,"""21/08/1982""",22
14,Windows 10,"""15/11/1975""",14
15.6,Windows 10,"""03/03/2002""",10
13.3,Windows 10,"""24/05/2012""",16
15.6,Windows 7,"""26/03/1980""",21
13.3,Windows 10,"""18/06/1975""",26
15.6,Windows 7,"""18/02/1985""",17
12.5,Windows 7,"""01/11/2018""",23
15.6,Windows 10,"""19/08/1965""",30
15.6,Windows 7,"""28/03/2019""",7
14,Windows 10,"""23/04/2005""",13
15.6,No OS,"""14/08/1997""",27
15.6,Windows 10,"""19/04/1962""",9
15.6,No OS,"""09/11/1985""",3
15.6,Windows 10,"""27/07/2008""",9
15.6,Windows 10,"""14/12/1979""",9
15.6,Windows 10,"""19/05/1962""",17
17.3,Windows 10,"""15/06/1997""",28
14,Windows 7,"""04/11/1961""",17
15.6,Windows 10,"""25/08/1995""",19
13.3,Windows 10,"""28/02/2005""",29
14,Windows 7,"""09/03/2006""",10
14,Windows 10,"""23/09/2005""",15
15.6,Windows 10,"""10/02/2006""",3
15.6,Windows 10,"""27/03/1982""",12
15.6,No OS,"""24/05/2018""",11
15.6,Windows 10,"""28/06/1974""",16
15.6,Windows 10,"""22/12/2012""",1
15.6,Windows 10,"""23/04/1964""",21
14,Windows 10,"""12/04/1986""",26
15.6,Windows 10,"""12/09/2021""",26
15.6,Windows 10,"""28/07/1960""",23
15.6,Windows 10,"""16/05/1986""",17
15.6,Windows 10,"""13/02/1997""",4
15.6,No OS,"""14/01/2011""",3
15.6,No OS,"""09/06/1969""",29
14,Windows 10,"""03/04/2018""",22
15.6,Windows 7,"""02/05/1970""",7
15.6,Windows 10,"""27/08/1983""",23
15.6,Windows 10,"""01/04/1975""",28
15.6,Windows 10,"""23/11/1990""",25
14,Windows 10,"""03/04/1962""",12
15.6,Windows 10,"""04/11/1960""",1
15.6,Linux,"""01/04/1982""",10
15.6,Windows 10,"""14/06/2015""",21
15.6,Windows 10,"""21/04/1988""",22
15.6,Windows 10,"""01/09/1992""",14
15.6,Windows 10,"""27/02/1979""",30
15.6,Windows 10,"""05/10/2004""",16
13.3,Linux,"""15/08/1983""",19
17.3,Windows 10,"""28/12/2004""",9
15.6,Windows 10,"""06/03/2016""",10
12.3,Chrome OS,"""13/04/2018""",14
15.6,Windows 10,"""30/04/1999""",20
12,Mac OS X,"""28/12/2014""",30
13.3,Windows 10,"""27/08/1962""",24
15.6,Windows 10,"""23/10/1993""",28
15.6,No OS,"""26/12/1978""",28
17.3,Windows 10,"""07/02/1971""",15
15.6,Linux,"""11/04/1976""",9
17.3,Windows 10,"""04/06/2006""",9
15.6,Windows 10,"""18/06/2011""",1
15.6,No OS,"""24/03/2009""",28
,,"""10/08/1961""",23
13.3,Windows 10,"""19/01/1966""",5
15.6,Windows 10,"""29/06/1998""",7
15.6,Windows 10,"""04/08/2018""",8
15.6,Windows 10,"""22/01/2001""",9
15.6,Windows 10,"""11/10/2021""",27
17.3,Windows 10,"""20/08/1976""",8
15.6,Windows 10,"""16/02/1966""",16
12,Mac OS X,"""28/04/1971""",11
15.6,Windows 10,"""13/03/1966""",7
17.3,Windows 10,"""20/09/1970""",8
15.6,Windows 10,"""23/08/2020""",13
17.3,Windows 10,"""30/10/2001""",25
11.6,Chrome OS,"""07/03/1978""",19
17.3,Windows 10,"""08/11/1967""",5
17.3,No OS,"""03/10/1974""",7
15.6,Windows 10,"""28/12/2013""",18
14,Windows 10,"""22/07/1976""",10
15.6,Windows 10,"""27/03/2001""",1
15.6,Windows 10,"""13/10/1985""",14
15.6,Windows 10,"""27/09/1985""",17
12.5,Windows 7,"""13/01/1998""",28
15,Windows 10,"""03/01/1962""",1
15.6,Windows 10,"""29/12/1977""",15
13.3,Windows 10,"""29/01/2013""",11
15.6,Linux,"""28/07/1969""",14
15.6,Windows 10,"""06/08/2000""",13
15.6,Windows 10,"""03/08/1993""",23
12.5,Windows 10,"""06/11/1974""",18
14,Windows 10,"""24/06/1976""",27
15.6,Windows 10,"""27/03/1965""",9
17.3,Windows 10,"""15/12/2022""",26
11.6,Mac OS X,"""03/11/1989""",11
15.6,Windows 10,"""27/04/1973""",15
14,Windows 7,"""04/10/1979""",11
15.6,Windows 7,"""10/09/1960""",10
15.6,Windows 10,"""24/07/1970""",16
13.3,Windows 10,"""16/10/1967""",25
15.6,Windows 10,"""19/05/1971""",26
13.3,Windows 10,"""05/10/1993""",23
15.6,Linux,"""26/09/1979""",30
17.3,Windows 10,"""14/01/2015""",4
14,Windows 7,"""15/07/1997""",18
,,"""06/10/1962""",16
14,Windows 10,"""23/07/1962""",3
15.6,Windows 10,"""01/07/2014""",11
15.6,No OS,"""10/06/2010""",30
13.3,Windows 10,"""01/05/2015""",21
15.6,Linux,"""15/11/2019""",24
15.6,Windows 10,"""26/08/1974""",22
15.6,Windows 10,"""09/04/2011""",8
14,Windows 10,"""13/04/1996""",26
15.6,Windows 10,"""28/06/1985""",8
15.6,Windows 10,"""15/09/2010""",7
17.3,Windows 10,"""30/07/1999""",28
15.6,Windows 10,"""24/08/1987""",13
15.6,Windows 7,"""11/04/2002""",20
15.6,Windows 10,"""28/03/1973""",10
14,Windows 10,"""08/09/1983""",14
13.3,Windows 10,"""26/08/1967""",15
15.6,Windows 10,"""12/11/2020""",8
15.6,Linux,"""26/05/2017""",4
15.6,Windows 10,"""26/10/2008""",5
15.6,Ubuntu,"""19/06/1996""",15
15.6,Windows 10,"""05/02/1986""",8
15.6,Linux,"""15/02/1969""",24
11.6,Windows 10,"""10/05/2013""",1
15.6,Windows 10,"""01/04/1997""",29
14,Windows 10,"""03/06/1997""",12
13.3,Windows 10,"""15/11/1994""",9
14,Windows 10,"""23/09/2000""",6
15.6,Ubuntu,"""28/03/2020""",21
15.6,Windows 10,"""16/02/1999""",18
13.3,Windows 10,"""29/07/1974""",13
15.6,Windows 10,"""31/12/1992""",26
15.6,Linux,"""29/03/2008""",25
15.6,Windows 10,"""07/08/1969""",8
15.6,Windows 10,"""21/04/1971""",17
15.6,Windows 10,"""04/02/2012""",22
15.6,Linux,"""22/09/1990""",11
11.6,Windows 10,"""16/04/2008""",14
15.6,Windows 10,"""10/03/1997""",4
14,Windows 10,"""21/02/1979""",6
13.3,Windows 10,"""26/10/1997""",27
14,Windows 10,"""25/09/1991""",25
15.6,Windows 10,"""24/10/1986""",23
15.6,Windows 10,"""26/09/1977""",28
13.3,Windows 10,"""06/06/2022""",5
15.6,Windows 10,"""26/02/1976""",27
15.6,Linux,"""08/02/2006""",21
15.6,Windows 10,"""18/01/2012""",25
15.6,Windows 10,"""28/05/2019""",23
15.6,Windows 10,"""21/07/1962""",20
15.6,Linux,"""02/09/1979""",2
11.6,Windows 10,"""03/12/1999""",27
15.6,Ubuntu,"""26/04/2005""",6
14,Windows 10,"""22/02/1999""",14
13.3,Windows 10,"""20/06/1978""",27
14,Ubuntu,"""19/01/1968""",28
15.6,Windows 10,"""23/08/1996""",15
15.6,Windows 10,"""23/10/1975""",12
15.6,Windows 10,"""20/02/2013""",20
15.6,ubuntu,"""13/03/2012""",30
13.3,Windows 7,"""06/04/2018""",23
15.6,Windows 10,"""01/02/1994""",28
15.6,Ubuntu,"""29/11/2017""",19
15.6,Windows 10,"""02/11/1977""",28
15.6,Windows 10,"""04/12/2000""",30
17.3,Windows 10,"""29/10/1996""",12
15.6,Linux,"""17/07/1973""",22
