,city,hml,target
1040,Sioux City,NA,No
1041,Wilkes-Barre,Medium,Yes
1042,Wilson,High,No
1043,Salt Lake City,Low,No
1044,Gilbert,High,Yes
1045,Florence-Graham,Low,No
1046,Joliet,Medium,No
1047,Garden Grove,Medium,No
1048,Joliet,High,No
1049,Indio,High,No
1050,Mansfield,High,No
1051,Fort Wayne,High,No
1052,Montgomery Village,Low,No
1053,Chandler,Medium,No
1054,Topeka,High,No
1055,Bolingbrook,High,No
1056,Fort Wayne,High,Yes
1057,Apple Valley,Low,No
1058,Joliet,Low,No
1059,Westland,Medium,No
1060,Rockford,Low,No
1061,West Orange,High,No
1062,Shelby,NA,Yes
1063,Glendora,Low,No
1064,NA,High,No
1065,Eau Claire,Low,No
1066,Ellicott City,Low,Yes
1067,Fort Myers,Low,Yes
1068,Kalamazoo,Low,Yes
1069,Fond du Lac,Medium,No
1070,Ellicott City,Low,No
1071,Bolingbrook,Medium,No
1072,Mesa,Low,No
1073,Detroit,Medium,No
1074,Bloomfield,NA,Yes
1075,Fort Wayne,High,No
1076,Findlay,Medium,No
1077,Edinburg,Medium,No
1078,Sioux City,High,No
1079,Chandler,High,No
1080,Westminster,Medium,No
1081,Saint Louis Park,High,No
1082,Fort Wayne,Low,Yes
1083,Somerville,Low,No
1084,Pearland,Medium,No
1085,Kalamazoo,Low,No
1086,Westminster,Medium,No
1087,West Orange,Medium,No
1088,DeKalb,Low,No
1089,Hartford,Low,No
1090,Montgomery Village,High,No
1091,Pocatello,High,No
1092,NA,Low,No
1093,Minnetonka,Medium,No
1094,Somerville,Low,Yes
1095,Alameda,High,No
1096,DeKalb,High,No
1097,Bolingbrook,Low,No
1098,Haverhill,High,No
1099,Pittsburgh,Low,No
1100,Nashua,High,No
1101,Cherry Hill,High,No
1102,Joliet,NA,No
1103,Wilkes-Barre,High,No
1104,Nashua,High,No
1105,Fort Wayne,Medium,No
1106,Apple Valley,High,No
1107,Hattiesburg,Medium,No
1108,NA,High,No
1109,Bloomfield,Low,No
1110,Fort Worth,Medium,No
1111,Overland Park,Low,No
1112,Grand Island,High,No
1113,NA,Medium,No
1114,Turlock,Medium,No
1115,Fort Myers,Medium,No
1116,Minneapolis,NA,No
1117,Watsonville,Medium,Yes
1118,Detroit,Medium,No
1119,Yorba Linda,High,No
1120,Broken Arrow,High,No
1121,Pocatello,Medium,No
1122,Franconia,Low,Yes
1123,Yonkers,Low,No
1124,Yonkers,NA,Yes
1125,Vacaville,Medium,No
1126,Chico,Medium,No
1127,NA,NA,Yes
1128,Alameda,Low,Yes
1129,Hartford,Medium,Yes
1130,NA,Medium,No
1131,Peoria,Medium,No
1132,Franconia,Low,No
1133,Fond du Lac,Medium,Yes
1134,Pasco,High,No
1135,Wilson,High,No
1136,Westland,High,No
1137,Hattiesburg,NA,Yes
1138,West Orange,High,No
1139,Kalamazoo,Medium,No
1140,Peoria,Medium,No
1141,North Bethesda,NA,Yes
1142,Carson,High,No
1143,Fond du Lac,High,No
1144,Joliet,Low,No
1145,Watsonville,High,No
1146,Hattiesburg,Low,No
1147,Florence-Graham,Medium,No
1148,Topeka,Medium,No
1149,Newport News,Medium,No
1150,Wheaton-Glenmont,High,No
1151,Bolingbrook,High,No
1152,Watsonville,Medium,No
1153,Kalamazoo,Medium,No
1154,Wilson,NA,Yes
1155,Austin,Low,No
1156,DeKalb,Medium,No
1157,Garden Grove,Medium,No
1158,Fort Smith,Medium,No
1159,Haverhill,High,No
1160,Overland Park,Low,Yes
1161,Indio,High,No
1162,Pearland,Low,Yes
1163,Hamilton,Low,Yes
1164,Waterbury,High,No
1165,Battle Creek,High,No
1166,San Buenaventura,Medium,No
1167,Gilbert,Low,No
1168,Overland Park,Medium,No
1169,Hilo,Medium,Yes
1170,Somerville,Low,No
1171,Nashua,High,No
1172,Broken Arrow,Medium,No
1173,Ellicott City,Low,No
1174,Beaverton,High,Yes
1175,NA,Low,No
1176,Hilo,High,No
1177,NA,Low,No
1178,Vacaville,High,No
1179,Joliet,High,No
1180,Westland,Medium,No
1181,Somerville,High,No
1182,Nashua,Low,Yes
1183,North Bethesda,High,No
1184,Detroit,High,No
1185,Watsonville,High,No
1186,Topeka,High,No
1187,Kendall,Low,No
1188,Concord,High,No
1189,Indio,High,No
1190,Pittsburgh,Low,No
1191,Westminster,High,No
1192,Carson,Low,No
1193,Sioux City,Low,No
1194,Toledo,Medium,No
1195,Battle Creek,Medium,No
1196,Sarasota,Low,No
1197,Battle Creek,Medium,No
1198,Franconia,Low,No
1199,Nashua,High,No
1200,Woodland,Medium,No
1201,San Clemente,High,No
1202,Mesa,Medium,No
1203,Waterbury,High,No
1204,Broken Arrow,Low,No
1205,Concord,Medium,No
1206,North Bethesda,High,No
1207,Nashua,High,No
1208,Lynwood,Low,No
1209,Bellflower,Medium,No
1210,Mesa,Medium,No
1211,Edinburg,Low,No
1212,Fort Myers,Medium,No
1213,Findlay,Medium,Yes
1214,North Bethesda,NA,Yes
1215,Apple Valley,Medium,No
1216,Bolingbrook,High,No
1217,Saint Louis Park,Medium,No
1218,Dothan,Low,Yes
1219,Watsonville,High,No
1220,Austin,Medium,No
1221,Fort Myers,Medium,No
1222,Pearland,High,No
1223,Jupiter,Medium,No
1224,Yonkers,High,No
1225,Westland,Low,Yes
1226,Dothan,Medium,No
1227,Wilkes-Barre,Medium,No
1228,Yonkers,High,No
1229,Montgomery Village,High,No
1230,Hoboken,High,No
1231,Cary,NA,Yes
1232,Sarasota,Low,No
1233,Nashua,High,No
1234,Joliet,Low,No
1235,Saint Louis Park,High,No
1236,Fort Smith,NA,No
1237,Austin,High,No
1238,Grand Island,Medium,No
1239,Charleston,High,No
1240,Ames,Medium,No
1241,Citrus Heights,Low,Yes
1242,Minnetonka,High,No
1243,NA,Low,Yes
1244,Joliet,Medium,No
1245,Wilson,Low,No
1246,Toledo,Medium,No
1247,NA,Low,Yes
1248,Topeka,High,No
1249,Kendall,Medium,No
1250,Pharr,Medium,No
1251,Passaic,Medium,No
1252,Topeka,High,No
1253,Hamilton,Low,Yes
1254,Chandler,High,No
1255,Watsonville,High,No
1256,Broken Arrow,Low,No
1257,Sioux City,High,No
1258,Findlay,Low,No
1259,West Sacramento,Medium,No
1260,NA,High,No
1261,Pasco,High,No
1262,Detroit,High,No
1263,Vacaville,Low,No
1264,Salt Lake City,Low,No
1265,Minneapolis,Medium,No
1266,North Bethesda,High,No
1267,Florence-Graham,Low,No
1268,Chandler,Low,No
1269,Bolingbrook,Low,No
1270,Fort Worth,Low,Yes
1271,West Sacramento,Low,No
1272,Newport News,Medium,No
1273,Rockford,Medium,No
1274,Newport News,Medium,No
1275,Newport News,Low,No
1276,Citrus Heights,Low,No
1277,Bridgewater,Medium,No
1278,DeKalb,High,No
1279,Kendall,High,No
1280,Wilkes-Barre,Medium,No
1281,Jupiter,Low,Yes
1282,Somerville,NA,No
1283,San Clemente,Low,No
1284,Fort Wayne,High,No
1285,Somerville,Low,No
1286,Nashua,Medium,No
1287,Pocatello,High,No
1288,NA,Low,Yes
1289,Bolingbrook,Low,No
1290,Racine,High,No
1291,Sioux City,High,No
1292,Passaic,High,No
1293,Hilo,Low,No
1294,Peoria,Low,No
1295,Yonkers,Medium,No
1296,Battle Creek,High,No
1297,Shelby,Medium,Yes
1298,Fond du Lac,Low,Yes
1299,Pleasanton,Low,No
1300,Minneapolis,Low,No
1301,Detroit,High,No
1302,Apple Valley,High,No
1303,Eau Claire,Low,No
1304,Salt Lake City,High,No
1305,Citrus Heights,Low,Yes
1306,Concord,Medium,Yes
1307,Bolingbrook,Medium,No
1308,Fort Myers,NA,Yes
1309,Pasco,NA,No
1310,Cherry Hill,NA,No
1311,Joliet,Low,No
1312,Yonkers,Low,No
1313,Passaic,Low,No
1314,West Sacramento,Medium,No
1315,NA,Low,No
1316,Garden Grove,Low,No
1317,Fort Wayne,Low,No
1318,Hoboken,High,No
1319,Mansfield,Low,No
1320,West Orange,Medium,No
1321,Chico,Medium,No
1322,Grand Island,Medium,No
1323,Vacaville,Medium,No
1324,San Clemente,High,Yes
1325,Minneapolis,Low,No
1326,Mesa,High,No
1327,Kalamazoo,Medium,No
1328,Sioux City,Medium,No
1329,Wheaton-Glenmont,High,No
1330,West Sacramento,High,No
1331,Blacksburg,High,Yes
1332,Dothan,Medium,No
1333,Charleston,High,No
1334,Hoboken,Low,No
1335,Topeka,Low,Yes
1336,Vacaville,Medium,No
1337,Austin,High,No
1338,NA,Medium,No
1339,Fort Worth,High,No
1340,Gilbert,Medium,No
1341,Topeka,High,No
1342,Crystal Lake,Low,No
1343,Newport News,High,No
1344,Shelby,Low,No
1345,Detroit,Low,Yes
1346,Ames,Medium,No
1347,NA,Medium,No
1348,Hartford,High,No
1349,Newport News,Medium,Yes
1350,Rockford,High,No
1351,Nashua,High,No
1352,Garden Grove,NA,No
1353,Yorba Linda,Low,No
1354,Peoria,Low,No
1355,Blacksburg,Low,Yes
1356,Pasco,Low,No
1357,NA,Medium,No
1358,Pleasanton,High,No
1359,Nashua,High,No
1360,Glendora,Medium,No
1361,Bloomfield,High,No
1362,Chico,Low,Yes
1363,Concord,Medium,No
1364,West Sacramento,Medium,No
1365,Rockford,Medium,No
1366,Bridgewater,Low,No
1367,NA,Low,No
1368,Kalamazoo,Low,No
1369,Haverhill,Medium,No
1370,Bryan,High,No
1371,NA,Low,No
1372,Battle Creek,Low,Yes
1373,Sarasota,NA,Yes
1374,Westland,High,No
1375,Mansfield,High,No
1376,Haverhill,High,No
1377,Grand Island,NA,Yes
1378,Ames,Low,No
1379,Blacksburg,Medium,No
1380,North Bethesda,Medium,No
1381,Franconia,High,No
1382,NA,High,No
1383,Cherry Hill,Low,Yes
1384,Pleasanton,Low,No
1385,Wheaton-Glenmont,Medium,No
1386,Montgomery Village,High,No
1387,NA,High,No
1388,Waterbury,Medium,No
1389,Yonkers,Medium,No
1390,NA,Medium,No
1391,NA,High,No
1392,Waterbury,Medium,No
1393,Vacaville,Low,No
1394,Sarasota,Low,No
1395,Pocatello,High,No
1396,Cherry Hill,Medium,No
1397,Detroit,Low,No
1398,Topeka,Medium,No
1399,Detroit,Low,No
1400,Chico,Medium,No
1401,Concord,Medium,No
1402,Waterbury,Medium,No
1403,Fort Myers,Low,No
1404,Franconia,Medium,No
1405,Bridgewater,High,No
1406,Austin,Medium,No
1407,Concord,High,No
1408,Westminster,Medium,No
1409,Athens-Clarke,Low,No
1410,Yonkers,High,No
1411,Hoboken,Low,No
1412,Pocatello,High,No
1413,Chico,Medium,No
1414,Hattiesburg,High,No
1415,Grand Island,Low,No
1416,Alameda,High,No
1417,Mesa,High,No
1418,NA,High,No
1419,West Orange,Low,No
1420,West Orange,Medium,No
1421,Fort Wayne,Low,Yes
1422,Lynwood,NA,Yes
1423,Newport News,Medium,No
1424,Lynwood,Medium,No
1425,Westminster,Medium,No
1426,San Buenaventura,High,No
1427,Florence-Graham,Low,No
1428,Turlock,Medium,No
1429,Cherry Hill,Low,No
1430,Cherry Hill,Medium,No
1431,Jupiter,Low,No
1432,Eau Claire,High,No
1433,Wilson,Low,No
1434,Indio,Low,Yes
1435,Minneapolis,Medium,Yes
1436,Fort Wayne,Medium,No
1437,Racine,Medium,No
1438,Chandler,Low,Yes
1439,San Buenaventura,Medium,Yes
1440,Hartford,Medium,No
1441,Turlock,Low,No
1442,Battle Creek,NA,Yes
1443,Carson,Low,No
1444,Fort Worth,Low,No
1445,Fort Worth,Low,No
1446,Citrus Heights,Medium,No
1447,Hoboken,Low,No
1448,Pharr,High,No
1449,Walnut Creek,High,No
1450,Edinburg,Medium,No
1451,Somerville,High,No
1452,Glendora,Medium,No
1453,Jupiter,High,No
1454,Montgomery Village,High,No
1455,Athens-Clarke,High,No
1456,Hoboken,Medium,No
1457,Cary,Low,No
1458,Bolingbrook,Low,No
1459,Sioux City,High,No
1460,Mesa,High,No
1461,San Clemente,Low,No
1462,Nashua,High,No
1463,Detroit,Low,No
1464,West Orange,Medium,No
1465,Joliet,Low,Yes
1466,Salt Lake City,High,No
1467,Gilbert,High,No
1468,Minnetonka,High,No
1469,Battle Creek,High,No
1470,Somerville,Low,No
1471,Joliet,Low,No
1472,Glendora,High,No
1473,NA,High,No
1474,Fort Myers,Medium,No
1475,Kalamazoo,Medium,No
1476,Hilo,Medium,Yes
1477,Pharr,Medium,No
1478,Ames,High,No
1479,Racine,Medium,No
1480,Elizabeth,High,No
1481,Peoria,High,No
1482,Ellicott City,Medium,No
1483,Mesa,Low,Yes
1484,Wilson,Medium,No
1485,Joliet,Medium,No
1486,Kalamazoo,Medium,No
1487,Newport News,Medium,No
1488,Fort Smith,Low,No
1489,Pearland,Medium,No
1490,Wilkes-Barre,Low,Yes
1491,Pittsburgh,Low,Yes
1492,Eau Claire,High,No
1493,Newport News,High,No
1494,Westminster,Low,Yes
1495,Topeka,High,No
1496,Sarasota,Low,No
1497,NA,Low,Yes
1498,Minneapolis,High,No
1499,Concord,Low,Yes
1500,Westland,High,No
1501,Newport News,Low,No
1502,Charleston,Low,No
1503,Hartford,NA,Yes
1504,Yorba Linda,High,No
1505,Rockford,High,No
1506,Newport News,Low,No
1507,Broken Arrow,Medium,No
1508,Westland,Medium,No
1509,Shelby,Medium,No
1510,Hattiesburg,Low,No
1511,Westminster,Medium,No
1512,Racine,Medium,No
1513,Wheaton-Glenmont,Medium,No
1514,Fort Smith,NA,Yes
1515,Bloomfield,High,No
1516,Topeka,High,No
1517,Boynton Beach,Low,No
1518,Indio,High,No
1519,Newport News,High,No
1520,Haverhill,Medium,No
1521,Garden Grove,Low,No
1522,Chico,High,No
1523,North Bethesda,Medium,No
1524,Alameda,High,No
1525,Fond du Lac,Low,No
1526,Pasco,High,No
1527,Edinburg,Medium,No
1528,NA,Low,No
1529,Apple Valley,High,No
1530,Crystal Lake,NA,Yes
1531,Detroit,High,No
1532,Charleston,High,No
1533,Watsonville,Low,Yes
1534,Sarasota,High,No
1535,Shelby,High,No
1536,Florence-Graham,Low,Yes
1537,Pasco,Medium,No
1538,Peoria,Medium,No
1539,Topeka,Medium,No
1540,Apple Valley,Medium,Yes
1541,Westminster,Low,No
1542,Dothan,Low,No
1543,Haverhill,Low,No
1544,Lynwood,High,No
1545,Ellicott City,Medium,No
1546,Wilkes-Barre,High,No
1547,Rockford,Medium,No
1548,Kalamazoo,Low,Yes
1549,Hilo,High,Yes
1550,Watsonville,Low,No
1551,DeKalb,Low,Yes
1552,DeKalb,Low,Yes
1553,Yonkers,Low,Yes
1554,Broken Arrow,High,No
1555,Crystal Lake,Medium,No
1556,DeKalb,Medium,No
1557,Topeka,Medium,No
1558,Blacksburg,Medium,No
1559,Vacaville,High,No
1560,Bloomfield,High,No
1561,Concord,Low,No
1562,Vacaville,Low,No
1563,Haverhill,Low,Yes
1564,Bridgewater,Low,No
1565,Franconia,Low,Yes
1566,Athens-Clarke,High,No
1567,Mesa,Medium,No
1568,Toledo,High,No
1569,Yorba Linda,High,No
1570,Athens-Clarke,Medium,Yes
1571,Alameda,Medium,No
1572,Bloomfield,Medium,No
1573,Detroit,Low,No
1574,NA,Medium,No
1575,Gilbert,High,No
1576,Jupiter,Medium,No
1577,NA,Low,Yes
1578,Wilkes-Barre,Low,Yes
1579,Hamilton,Medium,Yes
1580,Walnut Creek,Medium,No
1581,Pittsburgh,Medium,No
1582,Topeka,Medium,No
1583,Fort Smith,Medium,No
1584,Vacaville,High,No
1585,Westminster,Medium,No
1586,Pasco,Low,Yes
1587,Sarasota,High,No
1588,Shelby,Low,Yes
1589,Bridgewater,Medium,No
1590,Carson,High,No
1591,Florence-Graham,Low,Yes
1592,San Buenaventura,Low,No
1593,DeKalb,High,No
1594,Eau Claire,Low,No
1595,Ames,Low,Yes
1596,Indio,High,No
1597,Overland Park,High,No
1598,Ames,Medium,No
1599,Beaverton,High,No
1600,NA,Low,Yes
1601,Wilson,Medium,No
1602,Fort Smith,Medium,Yes
1603,Bryan,High,No
1604,Haverhill,Low,No
1605,Dothan,High,No
1606,Bellflower,Medium,No
1607,Waterbury,High,No
1608,Florence-Graham,High,No
1609,Elizabeth,High,No
1610,Pocatello,High,No
1611,Carson,Medium,No
1612,Carson,Low,No
1613,Indio,High,No
1614,Crystal Lake,Low,No
1615,Haverhill,High,No
1616,Woodland,Medium,No
1617,Garden Grove,Medium,No
1618,Walnut Creek,High,No
1619,DeKalb,Low,No
1620,Carson,High,No
1621,Austin,High,No
1622,Vacaville,Medium,No
1623,Hilo,Medium,No
1624,Citrus Heights,Medium,No
1625,Ames,Low,No
1626,Pittsburgh,Low,Yes
1627,Hamilton,High,No
1628,Hoboken,High,No
1629,Citrus Heights,Low,Yes
1630,Passaic,High,No
1631,Fort Myers,Low,No
1632,Topeka,Medium,No
1633,Hamilton,Low,Yes
1634,Fond du Lac,Medium,No
1635,San Clemente,Medium,No
1636,Pittsburgh,High,No
1637,Haverhill,Medium,Yes
1638,Edinburg,High,No
1639,Blacksburg,Low,No
1640,Ellicott City,High,No
1641,Ellicott City,Low,No
1642,Hartford,Low,No
1643,Bryan,Low,No
1644,Pleasanton,Low,Yes
1645,Fort Myers,High,No
1646,Kalamazoo,Low,No
1647,Haverhill,High,No
1648,Joliet,Low,No
1649,Hamilton,Low,Yes
1650,Turlock,High,No
1651,San Buenaventura,Low,No
1652,Concord,Medium,No
1653,Fort Myers,High,No
1654,Racine,High,No
1655,Woodland,NA,No
1656,Cary,Medium,Yes
1657,Somerville,Low,No
1658,Somerville,Low,No
1659,Pharr,Medium,No
1660,Overland Park,Medium,No
1661,Shelby,NA,Yes
1662,Hoboken,Medium,No
1663,Kalamazoo,Medium,No
1664,Battle Creek,Medium,No
1665,Garden Grove,Low,No
1666,Westland,High,No
1667,Cherry Hill,Medium,No
1668,Pasco,Low,No
1669,Lynwood,High,No
1670,Rockford,Medium,Yes
1671,Topeka,High,No
1672,Watsonville,High,No
1673,North Bethesda,High,No
1674,Hattiesburg,Medium,No
1675,Passaic,Low,Yes
1676,Dothan,High,No
1677,Eau Claire,Medium,No
1678,Battle Creek,Low,Yes
1679,Topeka,Medium,No
1680,Broken Arrow,Medium,No
1681,Florence-Graham,Medium,No
1682,Bolingbrook,High,No
1683,Ames,Medium,No
1684,Citrus Heights,Low,Yes
1685,Wilson,Medium,No
1686,Austin,High,No
1687,Athens-Clarke,High,No
1688,Haverhill,Medium,No
1689,Somerville,Medium,No
1690,Rockford,Medium,No
1691,Gilbert,High,No
1692,Chico,Medium,No
1693,Athens-Clarke,Low,No
1694,Racine,High,No
1695,Austin,High,No
1696,Cherry Hill,Medium,No
1697,Fort Wayne,Medium,No
1698,Kalamazoo,High,No
1699,Topeka,NA,Yes
1700,Racine,High,No
1701,Chandler,Low,No
1702,San Buenaventura,High,No
1703,Cary,Low,No
1704,Minnetonka,Medium,No
1705,Woodland,Medium,No
1706,Hartford,High,No
1707,Pocatello,High,No
1708,Yorba Linda,Medium,No
1709,Chico,Low,No
1710,Montgomery Village,Medium,No
1711,Fort Worth,Low,Yes
1712,Athens-Clarke,Low,Yes
1713,Kendall,Low,Yes
1714,Peoria,High,No
1715,Hemet,Medium,No
1716,Broken Arrow,Low,Yes
1717,Bridgewater,Low,Yes
1718,Westland,Low,Yes
1719,Turlock,High,No
1720,Jupiter,High,No
1721,Bloomfield,High,No
1722,Alameda,Medium,No
1723,Broken Arrow,Medium,No
1724,Chico,High,No
1725,San Clemente,High,No
1726,Racine,Low,No
1727,Carson,Medium,No
1728,Cherry Hill,Medium,No
1729,Fort Myers,Medium,No
1730,Lynwood,Low,No
1731,Woodland,NA,Yes
1732,Hoboken,Medium,No
1733,Nashua,Low,No
1734,Hamilton,Medium,No
1735,Boynton Beach,Medium,No
1736,Hamilton,Low,Yes
1737,Yonkers,High,No
1738,Bryan,NA,No
1739,Ames,Low,No
1740,Joliet,NA,Yes
1741,NA,Low,No
1742,Wilson,Low,Yes
1743,NA,Low,Yes
1744,DeKalb,High,No
1745,Saint Louis Park,Medium,No
1746,West Sacramento,Low,No
1747,Yorba Linda,High,No
1748,NA,Medium,No
1749,Topeka,Medium,No
1750,Watsonville,Medium,No
1751,Hartford,Low,Yes
1752,Minneapolis,Low,Yes
1753,Nashua,High,No
1754,West Orange,Medium,No
1755,Somerville,Medium,No
1756,Fond du Lac,Medium,No
1757,Chandler,High,No
1758,Fort Wayne,Low,No
1759,NA,Medium,No
1760,Pleasanton,High,No
1761,Elizabeth,Low,No
1762,Dothan,Low,Yes
1763,Hartford,Low,Yes
1764,Walnut Creek,Medium,No
1765,Eau Claire,Medium,No
1766,Boynton Beach,High,No
1767,Racine,High,No
1768,Chandler,Medium,No
1769,Watsonville,High,No
1770,Alameda,Low,No
1771,Yonkers,High,No
1772,Detroit,Medium,Yes
1773,Bridgewater,Medium,No
1774,NA,Low,No
1775,NA,High,No
1776,Gilbert,Medium,No
1777,Hemet,High,No
1778,Saint Louis Park,High,No
1779,NA,Medium,No
1780,Saint Louis Park,High,No
1781,NA,High,No
1782,Fond du Lac,Medium,No
1783,Hoboken,High,No
1784,NA,Low,Yes
1785,Passaic,Medium,No
1786,Gilbert,High,No
1787,Kalamazoo,Medium,No
1788,Watsonville,Low,No
1789,Yonkers,High,No
1790,Vacaville,Medium,No
1791,Dothan,Low,No
1792,Hattiesburg,Low,No
1793,Sarasota,Medium,No
1794,Passaic,High,No
1795,Bellflower,Low,Yes
1796,Rockford,High,No
1797,Fort Worth,Low,No
1798,Fort Worth,Medium,No
1799,Hartford,Low,No
1800,Newport News,High,Yes
1801,Joliet,Medium,No
1802,Pittsburgh,High,No
1803,Bryan,Medium,No
1804,NA,High,No
1805,Beaverton,High,No
1806,NA,Medium,No
1807,NA,High,No
1808,Wilkes-Barre,High,No
1809,NA,Medium,No
1810,Waterbury,Low,No
1811,Waterbury,High,No
1812,Yorba Linda,Low,No
1813,Mesa,High,No
1814,San Buenaventura,High,No
1815,Edinburg,Medium,No
1816,Nashua,Medium,No
1817,Westland,High,No
1818,Dothan,Low,No
1819,NA,High,No
1820,Pharr,High,No
1821,Glendora,Medium,No
1822,Bellflower,Low,No
1823,Wilson,High,No
1824,NA,High,No
1825,Florence-Graham,Medium,No
1826,Kendall,Medium,No
1827,North Bethesda,Medium,No
1828,Topeka,High,No
1829,Montgomery Village,High,No
1830,Bellflower,Medium,No
1831,NA,Medium,No
1832,Pleasanton,High,No
1833,Broken Arrow,Low,Yes
1834,Pleasanton,Medium,No
1835,Overland Park,Medium,Yes
1836,Montgomery Village,High,No
1837,Crystal Lake,Medium,No
1838,Jupiter,High,No
1839,Boynton Beach,High,No
1840,Saint Louis Park,Low,No
1841,Westland,Medium,No
1842,Dothan,High,No
1843,Bryan,High,No
1844,Pharr,Low,No
1845,Garden Grove,Low,No
1846,Battle Creek,Low,No
1847,Citrus Heights,High,No
1848,Westminster,Medium,No
1849,Fort Smith,NA,Yes
1850,Pearland,Low,Yes
1851,San Clemente,NA,No
1852,Kendall,Low,No
1853,Hamilton,Medium,No
1854,Charleston,Medium,No
1855,Cary,Medium,No
1856,Bolingbrook,Medium,No
1857,NA,High,No
1858,Pocatello,Low,No
1859,Toledo,High,No
1860,Joliet,Low,Yes
1861,West Orange,High,No
1862,DeKalb,NA,No
1863,Broken Arrow,Low,No
1864,Nashua,Low,No
1865,NA,High,No
1866,Rockford,Medium,No
1867,Racine,High,No
1868,West Orange,Medium,No
1869,Somerville,Medium,No
1870,Grand Island,High,No
1871,NA,Medium,No
1872,Waterbury,Low,No
1873,Waterbury,Low,Yes
1874,Westland,Medium,No
1875,Racine,Low,No
1876,Gilbert,Low,No
1877,NA,High,No
1878,Yorba Linda,High,No
1879,Passaic,Low,No
1880,Hoboken,Medium,No
1881,Turlock,Low,No
1882,Carson,High,No
1883,North Bethesda,High,No
1884,Salt Lake City,High,No
1885,Beaverton,Medium,No
1886,NA,Low,No
1887,Haverhill,High,No
1888,Bridgewater,Low,No
1889,North Bethesda,High,No
1890,Yonkers,Medium,No
1891,Topeka,Low,No
1892,West Orange,Medium,Yes
1893,Boynton Beach,High,No
1894,Findlay,High,No
1895,Minneapolis,NA,No
1896,Gilbert,Low,No
1897,Fort Wayne,High,No
1898,Overland Park,Medium,No
1899,Hemet,Medium,No
1900,Edinburg,Low,No
1901,Sarasota,High,No
1902,Bolingbrook,High,Yes
1903,Crystal Lake,High,No
1904,Boynton Beach,High,No
1905,Montgomery Village,High,No
1906,Pasco,Medium,Yes
1907,Fond du Lac,Medium,No
1908,Vacaville,Medium,No
1909,Bolingbrook,High,No
1910,Topeka,Low,No
1911,Mansfield,Medium,No
1912,Minneapolis,Medium,Yes
1913,West Orange,High,No
1914,Racine,Low,No
1915,Gilbert,High,No
1916,Wilson,Medium,No
1917,Lynwood,Low,No
1918,Toledo,Medium,No
1919,Hattiesburg,Low,No
1920,San Clemente,High,No
1921,NA,Low,No
1922,Athens-Clarke,Low,No
1923,Bolingbrook,High,No
1924,Pocatello,Low,Yes
1925,Wilkes-Barre,High,No
1926,Battle Creek,Low,No
1927,Westminster,High,No
1928,Concord,High,No
1929,Bloomfield,NA,No
1930,Ames,Low,No
1931,Citrus Heights,Medium,No
1932,Westland,High,No
1933,Carson,Medium,No
1934,Ellicott City,High,No
1935,Garden Grove,High,No
1936,Concord,Low,Yes
1937,Alameda,High,No
1938,Edinburg,High,No
1939,Bridgewater,High,No
1940,Wilkes-Barre,High,No
1941,NA,Medium,No
1942,Toledo,Low,No
1943,Westminster,Medium,Yes
1944,Athens-Clarke,Medium,No
1945,Sioux City,High,No
1946,Hoboken,Low,No
1947,San Clemente,High,Yes
1948,Hamilton,Low,No
1949,Westminster,Medium,Yes
1950,Gilbert,Medium,No
1951,West Orange,High,Yes
1952,Yorba Linda,High,No
1953,Findlay,Medium,Yes
1954,Joliet,Low,No
1955,Citrus Heights,High,No
1956,Sarasota,High,No
1957,Carson,High,No
1958,Pearland,High,No
1959,Woodland,Medium,No
1960,Racine,Low,No
1961,Hoboken,High,No
1962,Pasco,Low,No
1963,West Orange,Low,No
1964,Grand Island,High,No
1965,DeKalb,High,No
1966,Cary,Medium,No
1967,Concord,Medium,No
1968,Wilson,Low,No
1969,Waterbury,NA,Yes
1970,Carson,Low,Yes
1971,Apple Valley,High,No
1972,Austin,High,No
1973,Boynton Beach,Low,No
1974,Cary,Low,Yes
1975,Yorba Linda,Low,No
1976,Lynwood,High,No
1977,Carson,High,Yes
1978,NA,High,No
1979,Woodland,High,No
1980,Vacaville,NA,No
1981,Wilson,Medium,No
1982,Sioux City,Medium,No
1983,Cherry Hill,Medium,No
1984,Peoria,High,No
1985,Citrus Heights,Medium,No
1986,Austin,Low,Yes
1987,Mesa,High,No
1988,NA,High,No
1989,Sarasota,Medium,No
1990,Jupiter,Low,Yes
1991,Crystal Lake,High,No
1992,Somerville,High,No
1993,Topeka,High,No
1994,Detroit,NA,Yes
1995,Wheaton-Glenmont,Low,Yes
1996,Montgomery Village,NA,Yes
1997,West Orange,Medium,No
1998,Mesa,High,No
1999,Cherry Hill,High,No
2000,Lynwood,Medium,Yes
2001,Pleasanton,High,No
2002,Austin,Low,No
2003,Gilbert,Medium,No
2004,Pharr,Low,No
2005,San Buenaventura,High,No
2006,Pasco,Low,No
2007,Austin,Medium,No
2008,Jupiter,High,No
2009,Sioux City,High,No
2010,Kendall,Medium,No
2011,Pharr,Low,No
2012,Ames,Low,No
2013,Cary,High,No
2014,Waterbury,Medium,No
2015,Franconia,Low,No
2016,Bolingbrook,High,No
2017,Lynwood,Low,Yes
2018,Haverhill,Low,Yes
2019,Detroit,Low,No
2020,Garden Grove,High,No
2021,Pittsburgh,High,No
2022,Vacaville,Low,No
2023,Detroit,Low,Yes
2024,Rockford,Medium,No
2025,San Buenaventura,High,No
